dataset,n_segments,c,rule,selector,n_seeds,eval_auroc,eval_auroc_sd,alpha_values,own_floor_pct,published_floor_pct,gain_over_base_pct,oracle_gain_pct,recovered_fraction,vs_validation,vs_distance_matched
PSM,2,c30,dare,distance_matched,3,0.8091647914531034,0.002127190504297599,dm dm dm,0.519,0.068,1.541445075443778,1.5696820041197712,0.9820110515366278,,
PSM,2,c30,dare,oracle,3,0.8093898062585004,0.002035498084312966,0.5 0.5 0.5,0.519,0.068,1.5696820041197712,1.5696820041197712,1.0,,
PSM,2,c30,dare,base,3,0.796881303837961,0.004135978635708412,0 0 0,0.519,0.068,0.0,1.5696820041197712,0.0,,
PSM,2,c30,ties,calibrated,3,0.8072120573511316,0.0020375945687332543,1 1 1,0.519,0.068,1.2963980285916281,1.4031431422333163,0.9239242879583995,tie,tie
PSM,2,c30,ties,validation,3,0.8072120573511316,0.0020375945687332543,1 1 1,0.519,0.068,1.2963980285916281,1.4031431422333163,0.9239242879583995,,
PSM,2,c30,ties,distance_matched,3,0.8082891447424067,0.0017349725709470977,dm dm dm,0.519,0.068,1.4315608672838653,1.4031431422333163,1.0202529052063198,,
PSM,2,c30,ties,oracle,3,0.8080626892045027,0.0016635946242101875,2 2 2,0.519,0.068,1.4031431422333163,1.4031431422333163,1.0,,
PSM,2,c30,ties,base,3,0.796881303837961,0.004135978635708412,0 0 0,0.519,0.068,0.0,1.4031431422333163,0.0,,
PSM,2,c30,iso_c,calibrated,3,0.8100431677618017,0.001937389415534984,5 5 5,0.519,0.068,1.6516718186824384,1.6516718186824384,1.0,tie,tie
PSM,2,c30,iso_c,validation,3,0.8100431677618017,0.001937389415534984,5 5 5,0.519,0.068,1.6516718186824384,1.6516718186824384,1.0,,
PSM,2,c30,iso_c,distance_matched,3,0.8064959705408423,0.002456042270138382,dm dm dm,0.519,0.068,1.206536865223835,1.6516718186824384,0.730494309811683,,
PSM,2,c30,iso_c,oracle,3,0.8100431677618017,0.001937389415534984,5 5 5,0.519,0.068,1.6516718186824384,1.6516718186824384,1.0,,
PSM,2,c30,iso_c,base,3,0.796881303837961,0.004135978635708412,0 0 0,0.519,0.068,0.0,1.6516718186824384,0.0,,
PSM,2,c30,tsv,calibrated,3,0.8090451213607887,0.001816952207558907,1 1 1,0.519,0.068,1.5264277708918492,1.5264277708918492,1.0,tie,tie
PSM,2,c30,tsv,validation,3,0.8090451213607887,0.001816952207558907,1 1 1,0.519,0.068,1.5264277708918492,1.5264277708918492,1.0,,
PSM,2,c30,tsv,distance_matched,3,0.8087949331506863,0.0018465643128832655,dm dm dm,0.519,0.068,1.4950318517132462,1.5264277708918492,0.979431768880712,,
PSM,2,c30,tsv,oracle,3,0.8090451213607887,0.001816952207558907,1 1 1,0.519,0.068,1.5264277708918492,1.5264277708918492,1.0,,
PSM,2,c30,tsv,base,3,0.796881303837961,0.004135978635708412,0 0 0,0.519,0.068,0.0,1.5264277708918492,0.0,,
PSM,3,c05,ta,calibrated,3,0.7966313252574696,0.00207076922936057,1 1 1,0.1082,0.068,3.547217848083974,3.547217848083974,1.0,better,tie
PSM,3,c05,ta,validation,3,0.7919705441028718,0.0010420902670671228,0.5 0.5 0.5,0.1082,0.068,2.9414032055309685,3.547217848083974,0.8292141423227684,,
PSM,3,c05,ta,committed,3,0.7966313252574696,0.00207076922936057,1 1 1,0.1082,0.068,3.547217848083974,3.547217848083974,1.0,,
PSM,3,c05,ta,distance_matched,3,0.7966313252574696,0.00207076922936057,1 1 1,0.1082,0.068,3.547217848083974,3.547217848083974,1.0,,
PSM,3,c05,ta,oracle,3,0.7966313252574696,0.00207076922936057,1 1 1,0.1082,0.068,3.547217848083974,3.547217848083974,1.0,,
PSM,3,c05,ta,base,3,0.7693411197452181,0.0008326186542473697,0 0 0,0.1082,0.068,0.0,3.547217848083974,0.0,,
PSM,3,c05,dare,calibrated,3,0.7969462750791213,0.0022731091063907766,1 1 1,0.1082,0.068,3.5881554521673227,3.5881554521673227,1.0,better,tie
PSM,3,c05,dare,validation,3,0.7924029976480376,0.0012038996478470896,0.5 0.5 0.5,0.1082,0.068,2.997614102630679,3.5881554521673227,0.8354192404958531,,
PSM,3,c05,dare,distance_matched,3,0.7964983093497656,0.001333872384390768,dm dm dm,0.1082,0.068,3.5299282603718245,3.5881554521673227,0.9837723887463327,,
PSM,3,c05,dare,oracle,3,0.7969462750791213,0.0022731091063907766,1 1 1,0.1082,0.068,3.5881554521673227,3.5881554521673227,1.0,,
PSM,3,c05,dare,base,3,0.7693411197452181,0.0008326186542473697,0 0 0,0.1082,0.068,0.0,3.5881554521673227,0.0,,
PSM,3,c05,ties,calibrated,3,0.775637180505775,0.004637745384414973,0.5 0.5 0,0.1082,0.068,0.8183704989851507,4.21024971447755,0.19437576259932182,worse,worse
PSM,3,c05,ties,validation,3,0.7919078196499875,0.00666836631767576,2 1 1,0.1082,0.068,2.933250196251401,4.21024971447755,0.6966926893112773,,
PSM,3,c05,ties,distance_matched,3,0.8014472197650688,0.002227563975476526,dm dm dm,0.1082,0.068,4.173194334196415,4.21024971447755,0.9911987690056212,,
PSM,3,c05,ties,oracle,3,0.8017323020426496,0.003820968981671749,3 2 2,0.1082,0.068,4.21024971447755,4.21024971447755,1.0,,
PSM,3,c05,ties,base,3,0.7693411197452181,0.0008326186542473697,0 0 0,0.1082,0.068,0.0,4.21024971447755,0.0,,
